Rented Bike Count,Hour,Temperature(°C),Humidity(%),Visibility (10m),Rainfall(mm)_capped,Snowfall(cm)_capped,Wind speed (m/s)_capped,Solar Radiation (MJ/m2)_capped,Seasons_Spring,Seasons_Summer,Seasons_Winter,Holiday_No Holiday,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,weekday_Monday,weekday_Saturday,weekday_Sunday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday,is_weekend
15.937377450509228,0,-1.4847622585258093,-1.0323949282599947,1.0,0.0,0.0,1.4832396974191326,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14.2828568570857,1,-1.5095481500987022,-0.9835754531008097,1.0,0.0,0.0,0.8944271909999159,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13.152946437965905,2,-1.5508579693868565,-0.9347559779416248,1.0,0.0,0.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10.344080432788601,3,-1.5673818971021183,-0.8859365027824398,1.0,0.0,0.0,0.9486832980505138,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8.831760866327848,4,-1.5508579693868565,-1.0812144034191795,1.0,0.0,0.0,1.51657508881031,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10.0,5,-1.58390582481738,-1.0323949282599947,1.0,0.0,0.0,1.224744871391589,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13.45362404707371,6,-1.6004297525326419,-1.1300338785783646,1.0,0.0,0.0,1.140175425099138,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21.447610589527216,7,-1.6665254633936888,-0.9835754531008097,1.0,0.0,0.0,0.9486832980505138,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30.495901363953813,8,-1.6830493911089508,-1.0323949282599947,1.0,0.0,0.0,1.0488088481701516,0.01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22.135943621178654,9,-1.592167788675011,-1.5205896798518441,0.9635073492143943,0.0,0.0,0.7071067811865476,0.23,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18.411952639521967,10,-1.3443088729460846,-1.6670481053293988,0.9979726305119108,0.0,0.0,1.0954451150103321,0.65,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18.973665961010276,11,-1.096449957217158,-1.8135065308069538,0.9675620881905727,0.0,0.0,1.140175425099138,0.94,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21.18962010041709,12,-0.9146867523492788,-1.715867580488584,1.0,0.0,0.0,1.1832159566199232,1.11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21.236760581595302,13,-0.8568530053458625,-1.618228630170214,1.0,0.0,0.0,1.2649110640673518,1.16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21.142374511865974,14,-0.8072812222000773,-1.569409155011029,1.0,0.0,0.0,1.4142135623730951,1.01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21.517434791350013,15,-0.8816388969187552,-1.0812144034191795,1.0,0.0,0.0,1.7888543819998317,0.54,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22.0,16,-0.9559965716374332,-0.20246385055385066,0.3882412569690826,0.0,0.0,2.04939015319192,0.24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23.558437978779494,17,-0.9890444270679566,-0.007185949917110889,1.0,0.0,0.0,1.2649110640673518,0.08,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29.359836511806396,18,-1.0055683547832184,0.38336985135636864,1.0,0.0,0.0,1.1832159566199232,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24.49489742783178,19,-1.0551401379290037,0.920384078107403,1.0,0.0,0.0,1.3038404810405297,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20.639767440550294,20,-1.0799260295018964,1.018023028425773,0.9559047136340597,0.0,0.0,1.224744871391589,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20.12461179749811,21,-1.121235848790051,1.1156619787441426,0.8413583375570197,0.0,0.0,0.8944271909999159,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19.949937343260004,22,-1.1294978126476816,1.2133009290625125,0.6857577293461733,0.0,0.0,1.224744871391589,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17.97220075561143,23,-1.1625456680782051,1.2621204042216976,0.6274708565636087,0.0,0.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18.110770276274835,0,-1.2038554873663596,1.4085788296992523,0.4901165737455651,0.0,0.0,1.0488088481701516,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
